ID,出發日期,價格
EW18,09-23,75900
EH02,12-11,43900
AK07,09-22,12590
TXN03,09-12,23900
ES39,09-04,12490
ES39,11-06,12490
ES39,09-25,12490
ES41,02-05,75900
ES38,09-09,77900
ES42,11-20,45900
EW17,11-06,54900
ES33,09-07,69900
EH02,12-04,43900
ES33,11-09,69900
EH02,11-06,43900
EE47,10-12,64900
TXN03,10-10,23900
AK06,09-06,15990
EE47,10-26,64900
EW25,10-28,69900
TXN03,09-05,23900
ES33,12-07,69900
AK06,09-13,15990
AK06,09-27,15990
ES42,12-04,45900
AK07,09-15,12590
EN99,09-04,13490
TXN03,10-17,23900
EH02,11-20,43900
EE47,10-05,64900
EH02,01-22,43900
ES41,11-13,59900
TXN03,09-19,23900
EW28,11-04,43900
ES39,10-16,12490
ES33,09-21,69900
EW17,03-12,54900
AK06,09-20,15990
AK07,09-01,12590
ES33,11-23,69900
ES42,01-08,45900
AK07,09-08,12590
EW17,01-15,54900
ES41,01-08,59900
ES41,12-25,59900
ES42,01-01,45900
EE47,10-19,64900
EW17,03-05,54900
ES39,10-30,12490
ES42,03-05,45900
ES41,03-05,59900
EW25,09-09,75900
EE54,03-10,55900
AK10,10-06,71900
EW21,10-08,67900
LHW05,09-03,39900
TYO-2,09-06,21999
TXN02,09-02,28800
HAK02,09-16,11999
TYO-2,09-27,21999
CSX05,09-10,28900
TYO-2,10-04,21999
EE54,03-14,55900
CSX05,09-03,28900
EE32,12-09,49900
LHW05,09-10,39900
EE56,09-17,78900
EE54,02-10,55900
EE59,11-17,39900
EE55,01-06,46900
EE41,09-06,11790
EE54,01-06,55900
EE41,10-07,11790
DYG02,09-18,23900
EE55,03-03,46900
CSX05,09-17,28900
TXN02,10-07,28800
TXN02,10-14,28800
EE59,01-05,39900
EE56,10-12,78900
EE59,03-14,39900
EW21,10-15,67900
EE55,02-17,46900
EE55,10-21,46900
HAK02,09-02,11999
HAK02,09-09,11999
TYO-2,09-20,23999
EE59,02-28,39900
EW21,10-29,67900
EE32,11-25,49900
HAK01,09-02,17900
EE59,11-24,39900
TYO-2,09-13,21999
EE55,10-26,46900
EW21,10-22,67900
DYG02,09-04,23900
LHW05,09-17,39900
HAK01,09-16,17900
HAK01,09-09,17900
TXN02,09-09,28800
TXN02,09-16,28800
DYG02,09-11,23900
ICN18KEA,09-26,13000
ICN18LJ,09-22,17000
ICN18LJ,09-05,15000
ICN18LJ,09-26,15000
AE16,01-31,64900
ICN18KEA,09-22,16000
ICN18LJ,09-19,15000
URC10,09-28,61900
AE16,10-28,42900
ICN-33,09-19,10999
ICN18KEA,09-19,13000
ICN18LJ,09-12,15000
ICN18KEA,09-05,13000
URC10,09-14,61900
ICN18KEA,09-12,13000
